15:24:37.930718 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5902848:5903012, ack 3061, win 501, length 164
15:24:37.930755 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5903012:5903176, ack 3061, win 501, length 164
15:24:37.930788 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5903176:5903340, ack 3061, win 501, length 164
15:24:37.930836 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5903340:5903504, ack 3061, win 501, length 164
15:24:37.930867 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5903504:5903668, ack 3061, win 501, length 164
15:24:37.930899 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5903668:5903832, ack 3061, win 501, length 164
15:24:37.930949 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5903832:5903996, ack 3061, win 501, length 164
15:24:37.930985 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5903996:5904160, ack 3061, win 501, length 164
15:24:37.931021 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5904160:5904324, ack 3061, win 501, length 164
15:24:37.931054 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5904324:5904488, ack 3061, win 501, length 164
15:24:37.931090 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5904488:5904652, ack 3061, win 501, length 164
15:24:37.931123 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5904652:5904816, ack 3061, win 501, length 164
15:24:37.931159 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5904816:5904980, ack 3061, win 501, length 164
15:24:37.931195 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5904980:5905144, ack 3061, win 501, length 164
15:24:37.931228 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5905144:5905308, ack 3061, win 501, length 164
15:24:37.931264 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5905308:5905472, ack 3061, win 501, length 164
15:24:37.931298 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5905472:5905636, ack 3061, win 501, length 164
15:24:37.931334 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5905636:5905800, ack 3061, win 501, length 164
15:24:37.931367 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5905800:5905964, ack 3061, win 501, length 164
15:24:37.931403 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5905964:5906128, ack 3061, win 501, length 164
15:24:37.931436 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5906128:5906292, ack 3061, win 501, length 164
15:24:37.931472 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5906292:5906456, ack 3061, win 501, length 164
15:24:37.931507 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5906456:5906620, ack 3061, win 501, length 164
15:24:37.931543 IP 143.110.216.40.22 > 99.228.88.180.65054: Flags [P.], seq 5906620:5906784, ack 3061, win 501, length 164
